Date	Time	SubjectID	BuildTestID	EPrimeTemplateID	ExperimentNameShort	PatternNumber	RunInPeriod	PatternChoiceOrder	ThePattern	PatternLength	RT	CRESP	IncorrRT	IncorrResp	CurPatternElementNum	CurTargetKey	TotalElementNum	SequenceNum	TimeOnSequence	OptionA	OptionB	OptionC	OptionD	StimVersion	Volume	PresOrder
4/4/2023	1:23:19 PM	KRD	42	34	Antelopes	2	True	ABCD	23	2	813	resources//stimuli//Antelopes//square.bmp	0	NA	1	B	5	3	6048	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//circle.bmp	StandardReadMap	-1000	2413
4/4/2023	1:23:20 PM	KRD	42	34	Antelopes	2	True	ABCD	23	2	563	resources//stimuli//Antelopes//circle.bmp	0	NA	2	C	6	3	6970	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//circle.bmp	StandardReadMap	-1000	4213
4/4/2023	1:23:26 PM	KRD	42	34	Antelopes	2	False	ABCD	23	2	814	resources//stimuli//Antelopes//square.bmp	0	NA	1	B	1	1	1007	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//triangle.bmp	StandardReadMap	-1000	3421
4/4/2023	1:23:26 PM	KRD	42	34	Antelopes	2	False	ABCD	23	2	479	resources//stimuli//Antelopes//circle.bmp	0	NA	2	C	2	1	1782	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//square.bmp	StandardReadMap	-1000	1342
4/4/2023	1:23:27 PM	KRD	42	34	Antelopes	2	False	ABCD	23	2	398	resources//stimuli//Antelopes//square.bmp	0	NA	1	B	3	2	2486	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//star.bmp	StandardReadMap	-1000	1324
4/4/2023	1:23:28 PM	KRD	42	34	Antelopes	2	False	ABCD	23	2	580	resources//stimuli//Antelopes//circle.bmp	0	NA	2	C	4	2	3418	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//circle.bmp	StandardReadMap	-1000	4213
4/4/2023	1:23:29 PM	KRD	42	34	Antelopes	2	False	ABCD	23	2	880	resources//stimuli//Antelopes//square.bmp	0	NA	1	B	5	3	4597	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//triangle.bmp	StandardReadMap	-1000	3421
4/4/2023	1:23:30 PM	KRD	42	34	Antelopes	2	False	ABCD	23	2	579	resources//stimuli//Antelopes//circle.bmp	0	NA	2	C	6	3	5524	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//circle.bmp	StandardReadMap	-1000	4213
4/4/2023	1:23:31 PM	KRD	42	34	Antelopes	2	False	ABCD	23	2	597	resources//stimuli//Antelopes//square.bmp	0	NA	1	B	7	4	6477	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//star.bmp	StandardReadMap	-1000	2134
4/4/2023	1:23:32 PM	KRD	42	34	Antelopes	2	False	ABCD	23	2	431	resources//stimuli//Antelopes//circle.bmp	0	NA	2	C	8	4	7209	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//circle.bmp	StandardReadMap	-1000	4213
4/4/2023	1:23:33 PM	KRD	42	34	Antelopes	2	False	ABCD	23	2	579	resources//stimuli//Antelopes//square.bmp	0	NA	1	B	9	5	8185	resources//stimuli//Antelopes//triangle.bmp	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//star.bmp	StandardReadMap	-1000	1324
4/4/2023	1:23:34 PM	KRD	42	34	Antelopes	2	False	ABCD	23	2	714	resources//stimuli//Antelopes//circle.bmp	0	NA	2	C	10	5	9253	resources//stimuli//Antelopes//circle.bmp	resources//stimuli//Antelopes//square.bmp	resources//stimuli//Antelopes//star.bmp	resources//stimuli//Antelopes//triangle.bmp	StandardReadMap	-1000	3241
