ItemNum,Item,Procedure,TrialType,Block,Imageability,Frequency,Regularity,WordType,PrecedingWordType,PartofSpeech
87,fiend,showtrial,real,8,low,low,irregular,LI_LF_Irr,HI_LF_Reg,Noun
88,scheme,showtrial,real,8,low,low,irregular,LI_LF_Irr,LI_LF_Irr,Noun
89,dance,showtrial,real,8,high,high,regular,HI_HF_Reg,LI_LF_Irr,Verb
90,wish,showtrial,real,8,low,high,regular,LI_HF_Reg,HI_HF_Reg,Verb
91,surge,showtrial,real,8,low,low,regular,LI_LF_Reg,LI_HF_Reg,Noun
92,weird,showtrial,real,8,low,high,irregular,LI_HF_Irr,LI_LF_Reg,Adjective
93,blown,showtrial,real,8,low,high,irregular,LI_HF_Irr,LI_HF_Irr,Verb
94,youth,showtrial,real,8,high,high,irregular,HI_HF_Irr,LI_HF_Irr,Noun
95,comb,showtrial,real,8,high,low,irregular,HI_LF_Irr,HI_HF_Irr,Verb
96,mauve,showtrial,real,8,high,low,irregular,HI_LF_Irr,HI_LF_Irr,Adjective
97,fame,showtrial,real,8,low,low,regular,LI_LF_Reg,HI_LF_Irr,Noun
98,ewe,showtrial,real,8,low,low,irregular,LI_LF_Irr,LI_LF_Reg,Noun
99,claw,showtrial,real,8,high,low,regular,HI_LF_Reg,LI_LF_Irr,Noun
100,shape,showtrial,real,8,high,high,regular,HI_HF_Reg,HI_LF_Reg,Noun
101,witch,showtrial,real,8,high,high,regular,HI_HF_Reg,HI_HF_Reg,Noun
102,foot,showtrial,real,8,high,high,irregular,HI_HF_Irr,HI_HF_Reg,Noun
103,crab,showtrial,real,8,high,low,regular,HI_LF_Reg,HI_HF_Irr,Noun
104,stole,showtrial,real,8,low,high,regular,LI_HF_Reg,HI_LF_Reg,Verb
105,tongue,showtrial,real,8,high,high,irregular,HI_HF_Irr,LI_HF_Reg,Noun
106,sieve,showtrial,real,8,low,low,irregular,LI_LF_Irr,HI_HF_Irr,Noun
